3.6216,8.6661,-2.8073,-0.44699
4.5459,8.1674,-2.4586,-1.4621
3.866,-2.6383,1.9242,0.10645
3.4566,9.5228,-4.0112,-3.5944
-0.47465,-4.3496,1.9901,0.7517
1.0552,1.1857,-2.6411,0.11033
1.1644,3.8095,-4.9408,-4.0909
-4.4779,7.3708,-0.31218,-6.7754
-2.7338,0.45523,2.4391,0.21766
-0.2062,9.2207,-3.7044,-6.8103
2.0911,0.94358,4.5512,1.234
1.7317,-0.34765,4.1905,-0.99138
4.1736,3.3336,-1.4244,0.60429
3.9232,-3.2467,3.4579,0.83705
3.8481,10.1539,-3.8561,-4.2228
0.5195,-3.2633,3.0895,-0.9849
3.8584,0.78425,1.1033,1.7008
-2.1241,-6.8969,5.5992,-0.47156
-0.74324,-0.32902,-0.42785,0.23317
